Propriedade,Tags,Responsável,Projeto,Status,Prioridade,Prazo,Agrupando Por :,Tarefa principal,Descrição
Tempo de Ciclo do Pedido de Compra,,,,Não iniciado,,,,,
Custo médio de processamento de um pedido de compra,,,,Não iniciado,,,,,
Ordens de compra processadas eletronicamente,,,,Não iniciado,,,,,
Número de Fornecedores Ativos,,,,Não iniciado,,,,,
Capacidade do Fornecedor,,,,Não iniciado,,,,,
Taxa de conformidade do fornecedor,,,,Não iniciado,,,,,
Prevenção de Custos,,,,Não iniciado,,,,,
Redução de Custos,,,,Não iniciado,,,,,
ROI Total de Aquisição,,,,Não iniciado,,,,,
Curva ABC,,,,Não iniciado,,,,,
Satisfação do cliente,,,,Não iniciado,,,,,
Aplicativo Venda,,,,Não iniciado,,,KPI Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/KPI%20Desconto%2036540b7ea6f94d11b999dd8577b71263.csv),,
Volume de Notas Emitidas,,,,Não iniciado,,,"Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%2020efacdf5774460c966a444263285f53.csv), Por Serviço (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Servic%CC%A7o%202bb61e3a44a049e1a0038152ffb2c84f.csv), Por Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Cliente%204804f04f124a40da83aae5ad80356099.csv)",,Total de notas fiscais emitidas em um período específico.
Volume de Notas Emitidas,,,,Não iniciado,,,"Por Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Cliente%20bee0b978b5964a299fd3590edb9f593c.csv), Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%20dd38854738fb4f78a063fdd237ea4250.csv), Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%201e94b633256044c68358a0c5fe452a25.csv), Por Transação (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Transac%CC%A7a%CC%83o%20df885ee9d99047529b7fe94308b54ced.csv)",,Quantidade de notas fiscais emitidas no período.
Taxa de Notas Fiscais Rejeitadas,,,,Não iniciado,,,"Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%20555bd85e1c3844fc843f3f60ef8db3f1.csv), Por Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Cliente%20dc49a8616773431881ae5172d39f9e45.csv), Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%20d379b1fd60e04b4793bd3da4c397bc4e.csv), Por Transação (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Transac%CC%A7a%CC%83o%20da179c9fa6024d4bb210f7a54333f6bf.csv)",,Percentual de notas fiscais rejeitadas em relação ao total de notas fiscais emitidas.
